ID,Name,Fat (g),Protein (g),Carbohydrate (g)
167883,Pork Fresh Loin Center Rib (Chops) Bone-In Separable Lean Only Cooked Pan-Fried,9.73,28.84,0
167884,Pork Fresh Loin Blade (Chops) Bone-In Separable Lean And Fat Cooked Pan-Fried,16.56,25.02,0
167885,Pork Cured Ham Extra Lean And Regular Canned Unheated,7.46,17.97,0
167886,Pork Cured Ham Extra Lean And Regular Canned Roasted,8.43,20.94,0.49
167887,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat Cooked Pan-Fried,7.86,29.36,0
167888,Pork Fresh Composite Of Trimmed Retail Cuts (Leg Loin Shoulder And Spareribs) Separable Lean And Fat Raw,14.95,18.95,0
167889,Pork Fresh Loin Center Rib (Chops Or Roasts) Boneless Separable Lean And Fat Raw,14.01,19.9,0
167890,Pork Fresh Loin Center Rib (Chops) Boneless Separable Lean And Fat Cooked Braised,15.79,26.29,0
167891,Pork Fresh Loin Center Rib (Chops) Boneless Separable Lean And Fat Cooked Broiled,15.76,27.63,0
167892,Pork Fresh Loin Center Rib (Chops) Boneless Separable Lean And Fat Cooked Pan-Fried,18.05,25.82,0
167893,Pork Fresh Loin Center Rib (Chops) Boneless Separable Lean Only Cooked Pan-Fried,11.8,27.68,0
167894,Pork Fresh Loin Center Rib (Roasts) Boneless Separable Lean Only Cooked Roasted,10.13,28.81,0
167895,Pork Fresh Loin Country-Style Ribs Separable Lean And Fat Raw,11.82,19.34,0
167896,Pork Fresh Loin Country-Style Ribs Separable Lean And Fat Cooked Braised,17.71,26.49,0
167897,Country-Style Roasted Pork Ribs,29.46,21.75,0
167898,Pork Fresh Loin Sirloin (Chops) Boneless Separable Lean And Fat Cooked Braised,5.47,28.41,0
167899,Pork Fresh Loin Sirloin (Chops) Boneless Separable Lean And Fat Cooked Broiled,5.53,28.19,0
167900,Pork Fresh Loin Sirloin (Roasts) Boneless Separable Lean And Fat Cooked Roasted,7.32,29.62,0
167901,Pork Fresh Loin Sirloin (Chops Or Roasts) Boneless Separable Lean Only Raw,2.59,22.81,0
167902,Pork Fresh Ground Raw,21.19,16.88,0
167903,Cooked Ground Pork,20.77,25.69,0
167904,Broiled Pork Tenderloin,8.11,29.86,0
167905,Pork Fresh Loin Tenderloin Separable Lean And Fat Cooked Roasted,3.96,26.04,0
167906,Pork Fresh Composite Of Trimmed Retail Cuts (Loin And Shoulder Blade) Separable Lean And Fat Cooked,13.66,26.07,0
167907,Pork Fresh Composite Of Trimmed Retail Cuts (Loin And Shoulder Blade) Separable Lean Only Raw,5.88,21.23,0
167908,Pork Fresh Composite Of Trimmed Retail Cuts (Loin And Shoulder Blade) Separable Lean Only Cooked,9.44,29.47,0
167909,Hormel Cure 81 Ham,3.59,18.43,0.21
167910,Hormel Always Tender Pork Tenderloin Teriyaki-Flavored,3.07,18.2,4.63
167911,Hormel Canadian Style Bacon,4.94,16.88,1.87
167912,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean Only With Added Solution Cooked Pan-Broiled,5,28.95,0
167913,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat With Added Solution Cooked Pan-Broiled,7.66,28.35,0
167914,Pork Cured Bacon Cooked Baked,43.27,35.73,1.35
167915,Pork Cured Ham -- Water Added Rump Bone-In Separable Lean Only Heated Roasted,3.56,21.41,0.87
167916,Pork Cured Ham -- Water Added Rump Bone-In Separable Lean Only Unheated,3.48,15.43,0.67
167917,Pork Cured Ham -- Water Added Shank Bone-In Separable Lean Only Heated Roasted,4.43,20.92,1.2
167918,Pork Cured Ham -- Water Added Slice Bone-In Separable Lean Only Heated Pan-Broil,4.3,22.04,1.48
167919,Pork Cured Ham With Natural Juices Rump Bone-In Separable Lean Only Heated Roasted,4.25,24.14,0.48
167920,Pork Cured Ham With Natural Juices Shank Bone-In Separable Lean Only Heated Roasted,4.97,24.95,0.34
167921,Pillsbury Grands Buttermilk Biscuits Refrigerated Dough,11.34,6.16,42.41
167922,Heinz Weight Watcher Chocolate Eclair Frozen,6.9,4.4,40.3
167923,Interstate Brands Corp Wonder Hamburger Rolls,4.15,8.07,50.84
167924,Nabisco Nabisco Snackwells Fat Free Devils Food Cookie Cakes,1.09,5,74.25
167925,Crackers Cheese Sandwich-Type With Cheese Filling,24.41,8.92,58.76
167926,Pancakes Plain Frozen Ready-To-Heat Microwave (Includes Buttermilk),4.73,5.88,43.33
167927,Toaster Pastries Fruit Frosted (Include Apples Blueberry Cherry Strawberry),9.02,4.01,71.83
167928,Toaster Pastries Fruit Toasted (Include Apple Blueberry Cherry Strawberry),11.03,4.7,72.7
167929,Muffin Blueberry Commercially Prepared Low-Fat,4.22,4.23,50.05
167930,Pie Crust Refrigerated Regular Baked,28.69,3.41,58.52
167931,Pie Crust Deep Dish Frozen Baked Made With Enriched Flour,31.84,6.1,52.47
167932,Pie Crust Refrigerated Regular Unbaked,25.46,2.97,51.11
167933,Crackers Whole-Wheat Reduced Fat,7.59,11.34,75.52
167934,Crackers Wheat Reduced Fat,13.37,9.34,71.52
167935,Bread Pan Dulce Sweet Yeast Bread,11.58,9.42,56.38
167936,Keikitos (Muffins) Latino Bakery Item,25.24,6.81,53.16
167937,Cake Pound Bimbo Bakeries Usa Panque Casero Home Baked Style,21.7,6.62,48.94
167938,Pan Dulce La Ricura Salpora De Arroz Con Azucar Cookie-Like Contains Wheat Flour And Rice Flour,16.11,8.81,66.28
167939,Garlic Bread Frozen,16.61,8.36,41.72
167940,Cinnamon Buns Frosted (Includes Honey Buns),26.61,4.45,48.6
167941,Crackers Cheese Reduced Fat,11.67,10,68.19
167942,Crackers Saltines Whole Wheat (Includes Multi-Grain),10.71,7.14,68.25
167943,Bread Potato,3.13,12.5,47.07
167944,Bread Cheese,20.83,10.42,44.83
167945,Focaccia Italian Flatbread Plain,7.89,8.77,35.82
167946,Schifftigers Milk Bar,14.29,16.8,56.46
167947,Toblerone Milk Chocolate With Honey And Almond Nougat,28.57,5.71,61.21
167948,Snacks Corn-Based Extruded Onion-Flavor,22.6,7.7,65.1
167949,Snacks Corn-Based Extruded Puffs Or Twists Cheese-Flavor,36.54,5.46,54.54
167950,Snacks Kraft Cornnuts Plain,15.64,8.5,71.86
167951,Snacks Crisped Rice Bar Chocolate Chip,13.5,5.1,73
167952,Snacks Granola Bars Hard Chocolate Chip,16.3,7.3,72.1
167953,Fruit Syrup,0,0,85.13
167954,Snacks Granola Bars Soft Uncoated Plain,17.2,7.4,67.3
167955,Snacks Granola Bars Soft Uncoated Peanut Butter,15.8,10.5,64.4
167956,Topping Smuckers Magic Shell,44.1,2.94,50.07
167957,Syrup Fruit Flavored,0.02,0,65.1
167958,Snacks Oriental Mix Rice-Based,25.58,17.31,51.62
167959,Snacks Popcorn Air-Popped,4.54,12.94,77.78
167960,Snacks Popcorn Cheese-Flavor,33.2,9.3,51.6
167961,Snacks Pork Skins Plain,31.3,61.3,0
167962,Snacks Potato Chips Barbecue-Flavor,31.06,6.51,55.92
167963,Snacks Potato Chips Sour-Cream-And-Onion-Flavor,33.9,8.1,51.5
167964,Snacks M&m Mars Combos Snacks Cheddar Cheese Pretzel,16.92,9.85,66.5
167965,Snacks Pretzels Hard Whole-Wheat Including Both Salted And Unsalted,2.6,11.1,81.3
167966,Snacks Rice Cracker Brown Rice Plain,2.8,8.2,81.5
167967,Snacks Rice Cakes Brown Rice Buckwheat,3.5,9,80.1
167968,Snacks Trail Mix Tropical,17.1,6.3,65.6
167969,Trail Mix,31.9,14.2,44.9
167970,Snacks Tortilla Chips Taco-Flavor,24.2,7.9,63.1
167971,Tootsie Roll Chocolate-Flavor Roll,3.31,1.59,87.73
167972,Butterscotch Candy,3.3,0.03,90.4
167973,Carob Unsweetened,31.36,8.15,56.29
167974,Caramel Candy,8.1,4.6,77
167975,Caramello Candy Bar,21.19,6.19,63.81
167976,Semisweet Chocolate,30,4.2,63.9
167977,Sweet Chocolate,34.2,3.9,60.4
167978,Sweet Chocolate Coated Fondant,9.3,2.2,80.4
167979,Hersheys Golden Almond Solitaires,37.13,11.97,46.85
167980,Confectioners Coating Butterscotch,29.05,2.2,67.1
167981,Ice Creams French Vanilla Soft-Serve,13,4.1,22.2
167982,York Peppermint Pattie,7.17,2.19,80.99
167983,Twizzlers Nibs Cherry Bits,2.64,2.3,79.37
167984,Symphony Milk Chocolate Bar,30.57,8.51,58.01
167985,5th Avenue Candy Bar,23.98,8.78,62.68
167986,Fondant Prepared-From-Recipe,0.02,0,93.18
167987,Fudge Chocolate Prepared-From-Recipe,10.41,2.39,76.7
167988,Fudge Chocolate With Nuts Prepared-From-Recipe,18.93,4.38,68.15
167989,Jelly Gumdrops,0,0,98.9
167990,Hard Candy,0.2,0,98
167991,Jellybeans,0.05,0,93.55
167992,Kit Kat Wafer Bar,25.99,6.51,64.59
167993,Krackel Chocolate Bar,26.58,6.62,64.34
167994,Mars Snackfood Us Mars Almond Bar,23,8.1,62.7
167995,Marshmallows,0.2,1.8,81.3
167996,Halavah Plain,21.52,12.49,60.49
167997,Nestle Oh Henry! Bar,23,7.7,65.5
167998,Puddings Chocolate Dry Mix Instant Prepared With 2% Milk,1.92,3.15,18.89
167999,Baking Chocolate Mexican Squares,15.59,3.64,77.41
168000,Chocolate-Flavored Hazelnut Spread,29.73,5.41,62.36
168001,Milk Chocolate Coated Peanuts,33.5,13.1,49.7
168002,Glutino Gluten Free Wafers Lemon Flavored,24.18,0,74.39
168003,Glutino Gluten Free Wafers Milk Chocolate,30.42,4.06,62.82
168004,Marys Gone Crackers Original Crackers Organic Gluten Free,15.63,12.06,64.29
168005,Pepperidge Farm Goldfish Baked Snack Crackers Cheddar,16.11,11.71,66.2
168006,Pepperidge Farm Goldfish Baked Snack Crackers Explosive Pizza,16.82,9.56,67.2
168007,Sage Valley Gluten Free Vanilla Sandwich Cookies,22.15,3.13,71.88
168008,Schar Gluten-Free Classic White Rolls,2.65,3.34,50.47
168009,Schar Gluten-Free Wheat-Free Classic White Bread,4.47,3.81,46.13
168010,Udis Gluten Free Classic French Dinner Rolls,6.4,7.99,55.1
168011,Vans Gluten Free Totally Original Waffles,8.22,2.99,40.54
168012,Vans The Perfect 10 Crispy Six Whole Grain + Four Seed Baked Crackers Gluten Free,18.93,7.63,67.57
168013,Bread Multi-Grain (Includes Whole-Grain),4.23,13.36,43.34
168014,Cookies Animal Crackers (Includes Arrowroot Tea Biscuits),13.8,6.9,74.1
168015,Sweet Potatoes French Fried Crosscut Frozen Unprepared,11.1,1.7,25.52
168016,Sweet Potato Puffs Frozen Unprepared,3.58,1.36,30.72
168017,Mouse Nuts Roots (Alaska Native),0.1,3.9,16.1
168018,Mouse Nuts Seedlings (Alaska Native),1.1,7.3,16.3
168019,Octopus (Alaska Native),0.8,12.3,0
168020,Seal Bearded (Oogruk) Meat Dried (Alaska Native),2.3,82.6,0
168021,Fish Pike Northern Liver (Alaska Native),8,16.6,4.3
168022,Rhubarb Wild Leaves (Alaska Native),0.5,4.2,9.9
168023,Fish Salmon Tipnuk Fermented (Alaska Native),10.6,15.9,0
168024,Fish Salmon King Chinook Kippered Canned (Alaska Native),15.9,30.7,0
168025,Seal Ringed Meat (Alaska Native),3.2,28.4,0
168026,Seal Ringed Liver (Alaska Native),3.3,18.6,2.9
168027,Soup Fish Homemade (Alaska Native),2.2,7.4,5.6
168028,Sourdock Young Leaves (Alaska Native),0.7,2.3,6.5
168029,Walrus Meat Raw (Alaska Native),13.6,19.2,0
168030,Walrus Meat And Subcutaneous Fat Raw (Alaska Native),24.1,16.3,0
168031,Walrus Liver Raw (Alaska Native),3,21,3.5
168032,Oil Walrus (Alaska Native),100,0,0
168033,Fish Whitefish Mixed Species Raw (Alaska Native),6.1,18.9,0
168034,Fish Whitefish Broad Head Eyes Cheeks And Soft Bones (Alaska Native),3.6,18.6,0
168035,Willow Leaves In Oil (Alaska Native),61,2.6,8.1
168036,Willow Young Leaves Chopped (Alaska Native),1.6,6.1,20.7
168037,Corn White Steamed (Navajo),5.18,9.72,75.2
168038,Cornmeal White (Navajo),5.04,10.99,77.14
168039,Cornmeal Yellow (Navajo),5.88,9.85,72.9
168040,Squash Indian Raw (Navajo),0.2,0.52,5.64
168041,Tortilla Includes Plain And From Mutton Sandwich (Navajo),0.95,7.28,49.94
168042,Stew Dumpling With Mutton (Navajo),3.78,8.71,8.03
168043,Stew Hominy With Mutton (Navajo),2.06,6.71,9.38
168044,Stew Mutton Corn Squash (Navajo),4.34,8.62,7.27
168045,Fish Salmon Sockeye (Red) Raw (Alaska Native),7.28,21.94,0
168046,Fish Salmon Chum Raw (Alaska Native),3.67,20.69,0
168047,Fish Salmon King (Chinook) Raw (Alaska Native),11.73,20.25,0
168048,Salmonberries Raw (Alaska Native),0.33,0.85,10.05
168049,Caribou Shoulder Meat Dried (Alaska Native),3.67,59.38,0
168050,Caribou Hind Quarter Meat Raw (Alaska Native),3.37,22.63,0
168051,Seal Bearded (Oogruk) Meat Dried In Oil (Alaska Native),25.08,35.31,0
168052,Fish Whitefish Dried (Alaska Native),13.44,62.44,0
168053,Seal Bearded (Oogruk) Meat Low Quadrant Raw (Alaska Native),10.17,23.63,0
168054,Fish Salmon Chum Dried (Alaska Native),14.38,62.09,0
168055,Elk Free Range Ground Cooked Patties (Shoshone Bannock),2.8,29.45,0
168056,Elk Free Range Ground Raw (Shoshone Bannock),1.8,20.14,0
168057,Elk Free Range Roast Eye Of Round Cooked (Shoshone Bannock),2.85,30.56,0
168058,Chokecherries Raw Pitted (Shoshone Bannock),0.98,2.89,33.88
168059,Steelhead Trout Dried Flesh (Shoshone Bannock),8.06,77.27,0
168060,Steelhead Trout Boiled Canned (Alaska Native),8.26,21.11,0
168061,Acorn Stew (Apache),3.47,6.81,9.22
168062,Restaurant Italian Chicken Parmesan Without Pasta,10.64,16.17,10.92
168063,Restaurant Latino Arroz Con Leche (Rice Pudding),3.69,3.2,24.92
168064,Restaurant Latino Arroz Con Frijoles Negros (Rice And Black Beans),3.85,4.64,24.4
168065,Restaurant Latino Arroz Con Habichuelas Colorados (Rice And Red Beans),3.46,3.96,23.74
168066,Restaurant Latino Arroz Con Grandules (Rice And Pigeonpeas),4.98,3.5,30.75
168067,Restaurant Latino Tamale Pork,9.04,7.35,15.75
168068,Restaurant Latino Black Bean Soup,2.57,5.1,14.79
168069,Restaurant Latino Tripe Soup,2.58,8.61,4.07
168070,Restaurant Latino Arepa (Unleavened Cornmeal Bread),5.38,5.48,37.14
168071,Restaurant Latino Bunuelos (Fried Yeast Bread),26.24,8.02,48.57
168072,Restaurant Chinese Beef And Vegetables,5.3,7.08,7.29
168073,Cracker Barrel Chicken Tenderloin Platter Fried From Kids Menu,15.41,18.67,20.24
168074,Cracker Barrel Country Fried Shrimp Platter,16.77,12.62,21.4
168075,Cracker Barrel Farm Raised Catfish Platter,17.05,22.94,5.31
168076,Dennys Mozzarella Cheese Sticks,17.87,13.56,27.22
168077,Dennys Golden Fried Shrimp,20.01,13.88,20.93
168078,Dennys Macaroni & Cheese From Kids Menu,4.92,5.19,21.16
168079,Dennys Chicken Nuggets Star Shaped From Kids Menu,28.57,16.27,13.59
168080,Restaurant Chinese Shrimp And Vegetables,4.05,5.9,4.52
168081,Restaurant Chinese Sweet And Sour Chicken,12.65,10.1,23.86
168082,Restaurant Chinese Sweet And Sour Pork,15.66,8.91,23.34
168083,Restaurant Chinese Chicken Chow Mein,2.8,6.76,8.29
168084,Restaurant Chinese Vegetable Chow Mein Without Meat Or Noodles,1.68,1.34,5.74
168085,Olive Garden Spaghetti With Meat Sauce,3.28,5.8,17.19
168086,Carrabbas Italian Grill Spaghetti With Meat Sauce,3.92,5.87,15.71
168087,Restaurant Chinese Sesame Chicken,14.25,14.33,26.88
168088,Syrups Grenadine,0,0,66.91
168089,Imitation Cheese American Or Cheddar Low Cholesterol,32,25,1
168090,Babyfood Banana Juice With Low Fat Yogurt,0.8,2.5,17.54
168091,Babyfood Mixed Fruit Juice With Low Fat Yogurt,0.8,2.4,14.68
168092,Turkey Ham Sliced Extra Lean Prepackaged Or Deli-Sliced,5.8,19.6,0.93
168093,Salad Dressing Peppercorn Dressing Commercial Regular,61.4,1.2,3.5
168094,Mayonnaise Reduced-Calorie Or Diet Cholesterol-Free,33.3,0.9,6.7
168095,Granola Bar Soft Milk Chocolate Coated Peanut Butter,31.2,9.6,54.1
168096,Salad Dressing Italian Dressing Reduced Calorie,20,0.3,6.7
168097,Cream Substitute Liquid Light,3.5,0.8,9.1
168098,Cheese Monterey Low Fat,21.6,28.2,0.7
168099,Creamy Dressing Made With Sour Cream And/or Buttermilk And Oil Reduced Calorie Fat-Free,2.7,1.4,20
168100,Creamy Dressing Made With Sour Cream And/or Buttermilk And Oil Reduced Calorie Cholesterol-Free,8,1,16
168101,Bologna Beef Low Fat,14.8,11.8,5.2
168102,Mars Snackfood Us Twix Chocolate Fudge Cookie Bars,33.3,7.3,56
168103,Frozen Yogurts Chocolate Nonfat Milk Sweetened Without Sugar,0.8,4.4,19.7
168104,Frozen Yogurts Chocolate,3.6,3,21.6
168105,Frozen Yogurts Flavors Other Than Chocolate,3.6,3,21.6
168106,Papad,3.25,25.56,59.87
168107,Rice Cake Cracker (Include Hain Mini Rice Cakes),4.3,7.1,81.1
168108,Mars Snackfood Us M&Ms Almond Chocolate,27.76,7.53,60.5
168109,Salad Dressing Coleslaw Dressing Reduced Fat,20,0,40
168110,Pork Cured Ham Low Sodium Lean And Fat Cooked,8.3,22.3,0.3
168111,Pork Cured Ham Boneless Low Sodium Extra Lean (Approximately 5% Fat) Roasted,5.5,20.9,1.5
168112,Salad Dressing Mayonnaise And Mayonnaise-Type Low Calorie,19,0.9,23.9
168113,Frozen Novelties Juice Type Orange,0,0.5,23.17
168114,Cheese Cottage Lowfat 1% Milkfat No Sodium Added,1,12.4,2.7
168115,Mayonnaise Low Sodium Low Calorie Or Diet,19.2,0.3,16
168116,Snacks Tortilla Chips Unsalted White Corn,23.36,7.79,65.32
168117,Cranberry Juice Unsweetened,0.13,0.39,12.2
168118,Beef Bologna Reduced Sodium,28.4,11.7,2
168119,Turnip Greens Canned No Salt Added,0.3,1.36,2.81
168120,Turkey Light Or Dark Meat Smoked Cooked With Skin Bone Removed,9.7,28.1,0
168121,Cheese Pasteurized Process Cheddar Or American Low Sodium,31.19,22.2,1.6
168122,Coffee Instant With Whitener Reduced Calorie,29.1,1.96,59.94
168123,Cranberry-Apple Juice Drink Low Calorie With Vitamin C Added,0,0.1,4.7
168124,Cheese Swiss Low Sodium,27.4,28.4,3.4
168125,Babyfood Dinner Macaroni Beef And Tomato Sauce Toddler,1.9,4.34,11.53
168126,Rolls Pumpernickel,2.8,10.8,51.87
168127,Extruded Corn Chips,33.4,6.6,57.4
168128,Beans Baked Canned No Salt Added,0.4,4.8,20.49
168129,Jellyfish Dried Salted,1.4,5.5,0
168130,Frozen Novelties Ice Cream Type Chocolate Or Caramel Covered With Nuts,20.2,4.4,30.9
168131,Frankfurter Low Sodium,28.51,12,1.8
168132,Frozen Novelties Ice Type Pop With Low Calorie Sweetener,0,0,5.92
168133,Babyfood Dessert Peach Yogurt,0.18,0.9,17.6
168134,Babyfood Dessert Blueberry Yogurt Strained,0.7,0.5,17.05
168135,Babyfood Dessert Banana Yogurt Strained,0.52,1.1,17.35
168136,Ice Creams Chocolate Rich,16.98,4.72,19.78
168137,Snacks Tortilla Chips Light (Baked With Less Oil),15.2,8.7,73.4
168138,Post Honey Bunches Of Oats Honey Roasted,5.46,7.12,81.19
168139,Popcorn Microwave Low Fat And Sodium,9.5,12.6,73.39
168140,Babyfood Fruit Supreme Dessert,0.2,0.5,17.18
168141,Cheese Swiss Low Fat,5.1,28.4,3.4
168142,Sweeteners Tabletop Fructose Liquid,0,0,76.1
168143,Puddings Chocolate Flavor Low Calorie Instant Dry Mix,2.4,5.3,78.2
168144,Babyfood Grape Juice No Sugar Canned,0,0,15.38
168145,Jellies Reduced Sugar Home Preserved,0.03,0.3,46.1
168146,Puddings All Flavors Except Chocolate Low Calorie Instant Dry Mix,0.9,0.81,84.66
168147,Vital Wheat Gluten,1.85,75.16,13.79
168148,Frog Legs Raw,0.3,16.4,0
168149,Fish Mackerel Salted,25.1,18.5,0
168150,Java Plum,0.23,0.72,15.56
168151,Jujube,0.2,1.2,20.23
168152,Dried Jujube,0.5,4.72,72.52
168153,Kiwifruit,0.52,1.14,14.66
168154,Kumquats,0.86,1.88,15.9
168155,Limes,0.2,0.7,10.54
168156,Lime Juice,0.07,0.42,8.42
168157,Lime Juice Canned Or Bottled Unsweetened,0.23,0.25,6.69
168158,Dried Blueberries (Sweetened),2.5,2.5,80
168159,Prunes Canned Heavy Syrup Pack Solids And Liquids,0.2,0.87,27.8
168160,Prunes (Low-Moisture),0.73,3.7,89.07
168161,Prunes Dehydrated (Low-Moisture) Stewed,0.24,1.23,29.7
168162,Prunes (Dried Plums),0.38,2.18,63.88
168163,Quinces,0.1,0.4,15.3
168164,Golden Seedless Raisins,0.2,3.28,80.02
168165,Raisins,0.25,3.3,79.32
168166,Raisins Seeded,0.54,2.52,78.47
168167,Rambutan Canned Syrup Pack,0.21,0.65,20.87
168168,Rhubarb Frozen Uncooked,0.11,0.55,5.1
168169,Rhubarb Frozen Cooked With Sugar,0.05,0.39,31.2
168170,Roselle,0.64,0.96,11.31
168171,Rose Apples,0.3,0.6,5.7
168172,Strawberries Canned Heavy Syrup Pack Solids And Liquids,0.26,0.56,23.53
168173,Frozen Strawberries,0.11,0.43,9.13
168174,Strawberries Frozen Sweetened Sliced,0.13,0.53,25.92
168175,Sugar Apples,0.29,2.06,23.64
168176,Feijoa,0.42,0.71,15.21
168177,Asian Pears,0.23,0.5,10.65
168178,Fruit Cocktail Canned Heavy Syrup Drained,0.1,0.47,18.8
168179,Blueberries Canned Light Syrup Drained,0.4,1.04,22.66
168180,Blueberries Wild Canned Heavy Syrup Drained,0.34,0.56,28.32
168181,Peaches Canned Heavy Syrup Drained,0.18,0.52,18.43
168182,Pears Canned Heavy Syrup Drained,0.18,0.24,19.08
168183,Plums Canned Heavy Syrup Drained,0.14,0.44,23.12
168184,Tangerines (Mandarin Oranges) Canned Juice Pack Drained,0.04,0.75,9.41
168185,Peach Nectar Canned With Added Ascorbic Acid,0.51,0.21,11.93
168186,Pear Nectar Canned With Added Ascorbic Acid,0.01,0.11,15.76
168187,Pineapple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid,0.12,0.36,12.87
168188,Apple Juice Frozen Concentrate Unsweetened Undiluted With Added Ascorbic Acid,0.37,0.51,41
168189,Grapefruit Juice White Bottled Unsweetened Ocean Spray,0.64,0.54,7.51
168190,Jackfruit Canned Syrup Pack,0.14,0.36,23.94
168191,Medjool Dates,0.15,1.81,74.97
168192,Durian,5.33,1.47,27.09
168193,Pineapple (Traditional),0.13,0.55,11.82
168194,Pineapple Raw Extra Sweet Variety,0.11,0.53,13.5
168195,Clementines,0.15,0.85,12.02
168196,Guanabana Nectar Canned,0.17,0.11,14.93
168197,Juice Apple And Grape Blend With Added Ascorbic Acid,0.12,0.16,12.46
168198,Juice Apple Grape And Pear Blend With Added Ascorbic Acid And Calcium,0.12,0.17,12.96
168199,Plantains Green Fried,11.81,1.5,49.17
168200,Fried Yellow Plantains,7.51,1.42,40.77
168201,Red Delicious Apples,0.2,0.27,14.06
168202,Golden Delicious Apples,0.15,0.28,13.6
168203,Granny Smith Apples,0.19,0.44,13.61
168204,Gala Apples,0.12,0.25,13.68
168205,Pineapple Juice Canned Not From Concentrate Unsweetened With Added Vitamins A C And E,0.14,0.36,12.18
168206,Fortified Fruit Juice Smoothie,0,0.42,16.67
168207,Grape Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid And Calcium,0.13,0.37,14.77
168208,Fruit Juice Smoothie Odwalla Original Superfood,0.36,0.63,11.51
168209,Frozen Raspberries,0.81,1.15,12.55
168210,Guava Nectar With Sucralose Canned,0.07,0.3,13.3
168211,Kiwifruit Zespri Sungold Raw,0.28,1.02,15.79
168212,Cranberry Juice Blend 100% Juice Bottled With Added Vitamin C And Calcium,0.12,0.27,10.91
168213,Fruit Juice Smoothie Odwalla Strawberry Banana,0.32,0.5,11.05
168214,Fruit Juice Smoothie Naked Juice Strawberry Banana,0.27,0.48,11.66
168215,Plantains Green Raw,0.07,1.25,36.66
168216,Plantains Green Boiled,0.08,1.09,29.15
168217,Raspberry Juice Concentrate,1.34,3.04,53.19
